trueRr,uniformAttributableRisk,baselineRate,usageRateSlope,censorType,censorStrength,coverage,crudeBias,meanDiagnosticRatio,fractionFailingDiagnostic,meanDiagnostic2Ratio,fractionFailingDiagnostic2,meanPreExposureRatio,fractionFailingPreExposure,meanPreExposureRr,fractionFailingPreExposureLb,fractionFailingPreExposureLb125,fractionFailingPreExposureUb,fractionFailingPreExposureUb125,fractionFailingPreExposure125,bias
4,TRUE,1e-4,1e-5,Permanent,Strong,0.41,0.26360344513514883,0.6811444468673088,0.83,2.014429073496199,0.97,1.3489137527581893e-5,0,0.042210451519627344,0,0,1,1,1,0.27055844606900276
4,TRUE,1e-4,1e-5,Permanent when exposed,Weak,0,2.0283530156242104,0.0648384515266941,1,0.14927111709342678,1,3.062634146664875e-5,0,0.11934036782271289,0,0,1,1,1,2.0231675579362576
4,TRUE,1e-4,1e-5,Permanent when exposed,Strong,0,0.7286646554992066,0.09740463811449775,1,0.23195161300010078,1,2.280202269488406e-5,0,0.06674912950898472,0,0,1,0.94,0.94,0.7331936514236536
4,TRUE,1e-4,1e-5,Reverse causality,Weak,0,0.4602662603137425,1.1819079553553904,0.02,2.3349166586910615,1,0.3544993871896989,0,1.7218267145191912,1,0.97,0,0,0.97,0.45788996037627017
4,TRUE,1e-4,1e-5,Reverse causality,Strong,0,1.0874668776836907,1.367110269739757,0.99,2.982562496881179,1,0.3485612788691693,0,2.862194005285955,1,1,0,0,1,1.08371167102362
4,TRUE,1e-4,1e-5,None,None,0.89,-0.046592183470362016,1.0459170451804933,0,1.9573185272612437,1,0.26922891235230534,0,0.9689412603053367,0.02,0,0.04,0,0,-0.04811248209159122
4,FALSE,1e-4,1e-5,Temporary,Weak,0.98,-0.016632270745211925,1.1928594208911392,0.07,2.4895372723611584,1,0.18260421181588918,0,0.581976501481925,0,0,1,0.79,0.79,-0.018444857473239342
4,FALSE,1e-4,1e-5,Temporary,Strong,0.69,-0.10609953953680341,1.0708711908272173,0,2.4751595371232193,1,0.003982012247417124,0,0.15306249134391062,0,0,1,1,1,-0.10787457151291416
4,FALSE,1e-4,1e-5,Permanent,Weak,0,0.925226777822445,0.8921086539463713,0.01,2.4956938273420257,1,6.541773892697684e-7,0,0.013315654118482685,0,0,1,1,1,0.9241412949825267
4,FALSE,1e-4,1e-5,Permanent,Strong,0.46,0.24758662330067457,0.895453669214653,0.06,2.5121834110260113,1,7.76051019423424e-6,0,0.04896026467300381,0,0,1,1,1,0.2524182418589547
4,FALSE,1e-4,1e-5,Permanent when exposed,Weak,0,1.922268016878709,0.07558518016411066,1,0.163286820577196,1,1.0347920776206901e-4,0,0.1065350684457033,0,0,1,1,1,1.9172952898777138
4,FALSE,1e-4,1e-5,Permanent when exposed,Strong,0,0.6958359684022293,0.12739631098306203,1,0.3033312219610282,0.99,1.4020054225187442e-5,0,0.07708374703643306,0,0,0.99,0.96,0.96,0.7018049642573557
4,FALSE,1e-4,1e-5,Reverse causality,Weak,0,1.1176004161803783,1.1792930178679135,0.01,2.751379523640738,1,0.17118733421844928,0,1.6521114426728445,1,0.88,0,0,0.88,1.113421473329256
4,FALSE,1e-4,1e-5,Reverse causality,Strong,0,1.6839253519353068,1.3925520492836092,1,3.631634867514594,1,0.1955909823934366,0,2.7616368251630212,1,1,0,0,1,1.6789824973545497
4,FALSE,1e-4,1e-5,None,None,0.97,0.02285327117095866,1.2469664838621302,0.26,2.4963514703460055,1,0.24879410956492173,0,0.8001946271026004,0,0,0.58,0.01,0.01,0.021114992687551525
4,TRUE,1e-4,-1e-5,Temporary,Weak,0.97,0.025940441045025898,0.8913261064874738,0.06,2.4600270109027598,1,0.23553815920019686,0,0.7899133721079653,0,0,0.14,0.03,0.03,0.030254992831729034
4,TRUE,1e-4,-1e-5,Temporary,Strong,0.97,0.024095211790712997,0.7704715675237107,0.37,2.4563630380886945,1,0.016731552550173338,0,0.2120146967742376,0,0,1,0.99,0.99,0.02831525457858515
